PartNumber,BrandAAIAID,Description,DescriptionCode
FORD67ANP,JWTR,2011-14 FORD 6.7L CONTAMINATION KIT WITHOUT PUMP,DES
FORD67ANP,JWTR,2011-14 FORD 6.7L CONTAMINATION KIT WITHOUT PUMP,MKT
FORD67BNP,JWTR,2015-16 FORD 6.7L CONTAMINATION KIT WITHOUT PUMP,DES
FORD67DNP,JWTR,FORD 6.7L CONTAMINATION KIT WITHOUT PUMP,DES
FORD67ADCR,JWTR,2011-14 FORD 6.7L CONTAMINATION KIT CP4 TO DCR PUMP,DES
FORD67BDCR,JWTR,2015-16 FORD 6.7L CONTAMINATION KIT CP4 TO DCR PUMP,DES
FORD67CDCR,JWTR,2017-19 FORD 6.7L CONTAMINATION KIT CP4 TO DCR PUMP,DES
FORD67DDCR,JWTR,FORD 6.7L CONTAMINATION KIT CP4 TO DCR PUMP,DES
12702459,BBHK,GM LML CONTAMINATION KIT 2011-2016 WITH CP4 PUMP,DES
12702459NP,BBHK,GM LML CONTAMINATION KIT 2011-2016 WITHOUT PUMP,DES
12702459C,JWTR,GM LML CONTAMINATION KIT 2011-2016 WITH CP3 PUMP,DES
131867,JWTR,RAM 6.7L CONTAMINATION KIT 2013-18 PICKUP,DES
131867CC,JWTR,RAM 6.7L CONTAMINATION KIT 2013-18 CAB & CHASSIS,DES
7430021,JWTR,BOBCAT 1.8L TIER 4 Fuel Contamination Kit,DES
7430021DEL,JWTR,BOBCAT 1.8L TIER 4 Fuel Contamination Kit (DELPHI ONLY KIT),DES
7430022DEL,JWTR,BOBCAT 2.4L TIER 4 Fuel Contamination Kit (DELPHI ONLY KIT),DES
7430023DEL,JWTR,BOBCAT 3.4L TIER 4 Fuel Contamination Kit (DELPHI ONLY KIT),DES
