PartNumber,BrandAAIAID,Weight,Height,Length,Width
FORD67ANP,JWTR,34.01,9.01,28.01,34.01
FORD67BNP,JWTR,34.01,9.01,28.01,34.01
FORD67DNP,JWTR,34.01,9.01,28.01,34.01
FORD67ADCR,JWTR,46.01,9.01,28.01,34.01
FORD67BDCR,JWTR,46.01,9.01,28.01,34.01
FORD67CDCR,JWTR,46.01,9.01,28.01,34.01
FORD67DDCR,JWTR,46.01,9.01,28.01,34.01
12702459,BBHK,41.01,13.01,36.01,21.01
12702459NP,BBHK,25.01,4.01,34.0,28.01
12702459C,JWTR,41.01,13.01,36.01,21.01
131867,JWTR,42.01,13.01,25.01,15.01
131867CC,JWTR,50.01,9.01,28.01,34.01
7430021,JWTR,34.01,9.01,28.01,34.01
7430021DEL,JWTR,25.01,11.01,18.01,24.01
7430022DEL,JWTR,25.01,11.01,18.01,24.01
7430023DEL,JWTR,25.01,11.01,18.01,24.01
