BrandAAIAID	PartNumber	Weight	Length	Width	Height
BBHK	HP004X	8.5	11.5	8	8
BBHK	HP005X	8.5	11.5	8	8
BBHK	HP007X	8.5	11.5	8	8
BBHK	HP008X	8.5	11.5	8	8
BBHK	HP020X	11.1	11.5	8	8
BBHK	HP021X	11.05	11.5	8	8
BBHK	HP022X	11.1	11.5	8	8
BBHK	HP032X	7.75	11.5	8	8
BBHK	0986437106	8.8	9	8.5	6
BBHK	0986437303	18.05	14.5	9.5	8
BBHK	0986437304	16.85	14.5	9.5	8
BBHK	0986437307	17.15	14.5	9.5	8
BBHK	0986437308	18.05	14.5	9.5	8
BBHK	0986437332	17.6	14.5	9.5	8
BBHK	0986437333	18.85	14.5	9.5	8
BBHK	0986437334	18.35	12	11	8.5
BBHK	0986437341	17.55	14.5	9.5	8
BBHK	0986437363	14.65	14.5	9.5	8
BBHK	0986437370	19.2	14.5	9.5	8
BBHK	0986437374	14.9	14.5	9.5	8
BBHK	0986437421	12.85	14.5	9.5	8
BBHK	0986437422	9.05	9	8.5	6
BBHK	0986437441	10	9	8.5	6
BBHK	0986437503	37.75	15	13.5	10
BBHK	0986437504	37.75	15	13.5	10
BBHK	0986437506	35.55	15	13.5	10
BBHK	0986437507	37.75	15	13.5	10
BBHK	0986437508	37.75	15	13.5	10
BBHK	0986437468	10.05	14.5	9.5	8
BBHK	0445010834	9.65	14.5	9.5	8
BBHK	0445020101	19	14.5	9.5	8
BBHK	0445010649	9.8	14.5	9.5	8
BBHK	0445010851	10	14.5	9.5	8
BBHK	0445020235	37.85	15	13	11
BBHK	0445020017	18	14.5	9.5	8
BBHK	0445020030	18.05	14.5	9.5	8
BBHK	0445020122	17.8	14.5	9.5	8
BBHK	0445020516	9.95	14.5	9.5	8
BBHK	0445020151	17.1	14.5	9.5	8
BBHK	0445010858	10.1	14.5	9.5	8
BBHK	0445010859	10.05	14.5	9.5	8
BBHK	0986435053	1.25	9.75	2.75	2.75
BBHK	0986435109	1.25	9.75	2.75	2.75
BBHK	0986435127	1.25	9.75	2.75	2.75
BBHK	0986435128	1.25	9.75	2.75	2.75
BBHK	0986435190	1.45	9.75	2.75	2.75
BBHK	0986435251	1.35	9.75	2.75	2.75
BBHK	0986435254	1.2	9.75	2.75	2.75
BBHK	0986435355	0.8	9.75	2.75	2.75
BBHK	0986435359	1.05	9.75	2.75	2.75
BBHK	0986435398	0.8	9.75	2.75	2.75
BBHK	0986435404	0.8	9.75	2.75	2.75
BBHK	0986435409	0.85	9.75	2.75	2.75
